Rank,Name,Age,NetWorth,Industry,Source,Country,SelfMade,Gender
1,Elon Musk,0.31,1.00,Automotive,Tesla Spacex,United States,1,1
2,Jeff Bezos,0.44,0.76,Technology,Amazon,United States,1,1
3,Bernard Arnault & family,0.67,0.70,Fashion & Retail,Lvmh,France,0,1
4,Bill Gates,0.56,0.55,Technology,Microsoft,United States,1,1
5,Warren Buffett,0.95,0.50,Finance & Investments,Berkshire Hathaway,United States,1,1
6,Larry Page,0.30,0.47,Technology,Google,United States,1,1
7,Sergey Brin,0.28,0.45,Technology,Google,United States,1,1
8,Larry Ellison,0.73,0.44,Technology,Software,United States,1,1
9,Steve Ballmer,0.56,0.37,Technology,Microsoft,United States,1,1
10,Mukesh Ambani,0.53,0.37,Diversified,Diversified,India,0,1
11,Gautam Adani & family,0.45,0.36,Diversified,Infrastructure Commodities,India,1,1
12,Michael Bloomberg,0.78,0.32,Media & Entertainment,Bloomberg Lp,United States,1,1
13,Carlos Slim Helu & family,0.81,0.32,Telecom,Telecom,Mexico,1,1
14,Francoise Bettencourt Meyers & family,0.59,0.29,Fashion & Retail,LOréal,France,0,0
15,Mark Zuckerberg,0.11,0.25,Technology,Facebook,United States,1,1
16,Jim Walton,0.67,0.24,Fashion & Retail,Walmart,United States,0,1
17,Zhong Shanshan,0.58,0.24,Food & Beverage,Beverages Pharmaceuticals,China,1,1
18,Alice Walton,0.66,0.24,Fashion & Retail,Walmart,United States,0,0
19,Rob Walton,0.73,0.24,Fashion & Retail,Walmart,United States,0,1
19,Changpeng Zhao,0.22,0.24,Finance & Investments,Cryptocurrency Exchange,Singapore,1,1
21,Charles Koch,0.88,0.21,Diversified,Koch Industries,United States,0,1
21,Julia Koch & family,0.45,0.21,Diversified,Koch Industries,United States,0,0
23,Amancio Ortega,0.88,0.21,Fashion & Retail,Zara,Spain,1,1
24,Michael Dell,0.42,0.19,Technology,Dell Computers,United States,1,1
25,Zhang Yiming,0.13,0.16,Media & Entertainment,Tiktok,China,1,1
26,David Thomson & family,0.53,0.16,Media & Entertainment,Media,Canada,0,1
27,Phil Knight & family,0.84,0.15,Fashion & Retail,Nike,United States,1,1
28,Dieter Schwarz,0.81,0.15,Fashion & Retail,Retail,Germany,0,1
29,Robin Zeng,0.36,0.14,Automotive,Batteries,China,1,1
30,Mackenzie Scott,0.33,0.13,Technology,Amazon,United States,0,0
31,Rodolphe Saade,0.34,0.12,Logistics,Shipping,France,0,1
