Rank,Name,Country,Sales,Profit,Assets,Market Value
1,ICBC,China,0.3132,0.7076,1,0.0976
2,JPMorgan Chase,United States,0.212,0.6204,0.747,0.1946
3,Berkshire Hathaway,United States,0.4156,0.6543,0.1658,0.2665
4,China Construction Bank,China,0.2815,0.6026,0.8735,0.0799
5,Saudi Arabian Oil Company (Saudi Aramco),Saudi Arabia,0.3862,0.7641,0.0908,0.84
6,Apple,United States,0.506,1,0.0585,1
7,Bank of America,United States,0.1423,0.2569,0.5701,0.1367
8,Ping An Insurance Group,China,0.2733,0.3037,0.2855,0.0803
9,Agricultural Bank of China,China,0.245,0.4733,0.8442,0.0483
10,Amazon,United States,0.6775,0.3118,0.0517,0.7565
11,Samsung Electronics,South Korea,0.3322,0.3247,0.0573,0.2152
12,Toyota Motor,Japan,0.4229,0.1987,0.1014,0.0839
13,Alphabet,United States,0.2981,0.6187,0.0514,0.6785
14,Bank of China,China,0.2079,0.4184,0.7557,0.0377
15,Microsoft,United States,0.2439,0.7964,0.0482,0.8713
16,Citigroup,United States,0.1155,0.2439,0.4632,0.0533
17,Volkswagen Group,Germany,0.4316,0.1212,0.1189,0.0515
18,Walmart,United States,1,0.1858,0.0376,0.1636
19,Wells Fargo,United States,0.1183,0.0872,0.3899,0.0669
20,Verizon Communications,United States,0.1973,0.2553,0.0508,0.0939
21,UnitedHealth Group,United States,0.448,0.2407,0.0278,0.1517
22,China Merchants Bank,China,0.0708,0.1955,0.2494,0.072
23,Alibaba Group,China,0.133,0.3441,0.0371,0.2814
24,Allianz,Germany,0.2003,0.0937,0.2657,0.0338
25,Comcast,United States,0.1513,0.1373,0.042,0.0989
26,Goldman Sachs Group,United States,0.0734,0.2116,0.2542,0.0376
27,Softbank,Japan,0.0892,0.2084,0.0611,0.0586
28,Postal Savings Bank Of China (PSBC),China,0.0835,0.1179,0.3438,0.0358
29,Tencent Holdings,China,0.0887,0.3441,0.0275,0.3338
30,BNP Paribas,France,0.1496,0.0905,0.614,0.0208
31,Morgan Stanley,United States,0.0639,0.1842,0.2246,0.041
32,China Mobile,Hong Kong,0.1656,0.2197,0.04,0.0459
33,Facebook,United States,0.1185,0.4378,0.0183,0.3774
34,Johnson & Johnson,United States,0.1121,0.2052,0.0215,0.1776
35,Sony,Japan,0.1071,0.1309,0.0372,0.047
36,Intel,United States,0.1034,0.3053,0.017,0.104
37,CVS Health,United States,0.4588,0.084,0.0347,0.03
