Rank,Name,Country,Sales,Profit,Assets,Market Value,C,Class
1,Berkshire Hathaway,United States,276.09,89.8,958.78,741.48,cluster1,T?ng
2,ICBC,China,208.13,54.03,"5,518.51",214.43,cluster0,Gi?m
3,Saudi Arabian Oil Company (Saudi Aramco),Saudi Arabia,400.38,105.36,576.04,"2,292.08",cluster1,T?ng
4,JPMorgan Chase,United States,124.54,42.12,"3,954.69",374.45,cluster1,Gi?m
5,China Construction Bank,China,202.07,46.89,"4,746.95",181.32,cluster0,Gi?m
6,Amazon,United States,469.82,33.36,420.55,"1,468.40",cluster1,T?ng
7,Apple,United States,378.7,100.56,381.19,"2,640.32",cluster1,T?ng
8,Agricultural Bank of China,China,181.42,37.38,"4,561.05",133.38,cluster0,Gi?m
9,Bank of America,United States,96.83,31,"3,238.22",303.1,cluster1,Gi?m
10,Toyota Motor,Japan,281.75,28.15,552.46,237.73,cluster1,T?ng
11,Alphabet,United States,257.49,76.03,359.27,"1,581.72",cluster1,T?ng
12,Microsoft,United States,184.9,71.19,340.39,"2,054.37",cluster1,T?ng
13,Bank of China,China,152.43,33.57,"4,192.84",117.83,cluster0,T?ng
14,Samsung Group,South Korea,244.16,34.27,358.88,367.26,cluster1,Gi?m
15,ExxonMobil,United States,280.51,23.04,338.92,359.73,cluster1,T?ng
16,Shell,United Kingdom,261.76,20.27,404.38,211.1,cluster1,Gi?m
17,Ping An Insurance Group,China,181.37,15.74,"1,587.11",121.69,cluster0,Gi?m
18,Wells Fargo,United States,84.12,20.58,"1,939.71",176.77,cluster1,Gi?m
19,Verizon Communications,United States,134.35,21.52,366.6,218.02,cluster1,Gi?m
20,AT&T,United States,163.03,17.33,551.62,141.79,cluster1,T?ng
21,PetroChina,China,380.31,14.29,392.6,142.3,cluster0,T?ng
21,UnitedHealth Group,United States,297.55,17.45,221.24,490.15,cluster1,T?ng
23,Walmart,United States,572.75,13.67,244.86,431.64,cluster1,T?ng
24,China Merchants Bank,China,71.07,18.58,"1,451.20",167.32,cluster0,Gi?m
25,Volkswagen Group,Germany,295.73,17.54,638.26,82.4,cluster1,Gi?m
26,Chevron,United States,156.29,15.63,239.53,316.23,cluster1,Gi?m
27,Citigroup,United States,79.94,18.23,"2,394.11",101.48,cluster1,Gi?m
28,Tencent Holdings,China,86.86,34.94,252.99,414.28,cluster0,T?ng
29,Total,France,185.12,16.14,293.46,127.32,cluster1,T?ng
30,Postal Savings Bank Of China (PSBC),China,77.61,11.33,"1,975.08",125.53,cluster0,Gi?m
31,China Mobile,Hong Kong,131.49,17.97,283.37,147.05,cluster1,T?ng
32,Comcast,United States,116.39,14.16,275.9,205.72,cluster1,Gi?m
33,Alibaba Group,China,129.76,10.17,276.25,237.78,cluster0,Gi?m
34,Meta Platforms,United States,117.93,39.37,165.99,499.86,cluster1,T?ng
35,Allianz,Germany,138.62,7.81,"1,324.62",96.42,cluster0,Gi?m
36,Morgan Stanley,United States,60.22,14.58,"1,222.23",150.95,cluster1,T?ng
37,Goldman Sachs Group,United States,62.81,18.74,"1,589",109.32,cluster1,Gi?m
